season,n_legs,lifelines,worst_case_bets,worst_case_turnover,worst_case_payout,expected_payout,rpf_fees,poc_fees,gross_win_of_original_bets,fraction_saved,N_bets_total
2025,4,"5,4,3,1",2916,207317.02,857320.6354,198843.96811666666,4353.6574200000005,32080.448,207317.02,0.5406006674082313,5394
2025,4,"5,5,3,1",2935,207788.6,860413.8234,209580.48611666667,4363.5606,32152.435,207788.6,0.5441230997404524,5394
2025,4,"4,4,4,1",2354,177337.16,723436.8074,205977.682875,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,1",2923,207452.17,859424.1204,212166.892375,4356.49557,32100.7205,207452.17,0.5418984056358918,5394
2025,4,"5,5,4,1",2943,207948.75,862662.3084,223146.922875,4366.92375,32176.4575,207948.75,0.5456062291434928,5394
2025,4,"5,5,5,1",2943,207948.75,862662.3084,237379.54895833333,4366.92375,32176.4575,207948.75,0.5456062291434928,5394
2025,4,"2,2,2,2",1197,94247.98,391223.1597,125271.5868,1979.20758,14632.513,94247.98,0.22191323692992213,5394
2025,4,"3,2,2,2",1755,140590.56,595011.5223,144906.434125,2952.40176,21784.5245,140590.56,0.3253615127919911,5394
2025,4,"4,2,2,2",2214,172269.11,697534.2469,152204.959375,3617.65131,26628.666,172269.11,0.41045606229143494,5394
2025,4,"5,2,2,2",2668,197619.1,809120.3559,158394.168875,4150.0011,30588.6895,197619.1,0.4946236559139785,5394
2025,4,"3,3,2,2",1797,141733.86,600595.5273,169886.43545,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,2,2",2328,176253.92,718042.9604,177184.9607,3701.33232,27242.3335,176253.92,0.43159065628476084,5394
2025,4,"5,3,2,2",2839,204197.93,840975.5284,183374.1702,4288.15653,31600.835,204197.93,0.5263255469039674,5394
2025,4,"4,4,2,2",2351,177265.11,723007.6949,189001.83023333334,3722.56731,27396.6115,177265.11,0.43585465331850204,5394
2025,4,"5,4,2,2",2907,207123.47,856537.8229,195191.03973333334,4349.59287,32048.9155,207123.47,0.5389321468298109,5394
2025,4,"5,5,2,2",2926,207595.05,859631.0109,206077.12256666666,4359.49605,32120.9025,207595.05,0.5424545791620319,5394
2025,4,"3,3,3,2",1797,141733.86,600595.5273,197284.829275,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,2",2330,176295.97,718311.5729,204583.354525,3702.21537,27248.641,176295.97,0.43196143863552094,5394
2025,4,"5,3,3,2",2844,204324.98,841525.6409,210772.564025,4290.82458,31619.8925,204324.98,0.5272525027808677,5394
2025,4,"4,4,3,2",2354,177337.16,723436.8074,216745.98239166668,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,3,2",2917,207367.02,857525.6354,222935.19189166668,4354.707420000001,32087.948,207367.02,0.5407860585836114,5394
2025,4,"5,5,3,2",2936,207838.6,860618.8234,234130.399725,4364.6106,32159.935,207838.6,0.5443084909158324,5394
2025,4,"4,4,4,2",2354,177337.16,723436.8074,230877.87496666666,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,2",2925,207552.17,860054.1204,237067.08446666668,4358.59557,32115.7205,207552.17,0.5422691879866518,5394
2025,4,"5,5,4,2",2945,208048.75,863292.3084,248505.8048,4369.02375,32191.4575,208048.75,0.5459770114942529,5394
2025,4,"5,5,5,2",2945,208048.75,863292.3084,263933.28071666666,4369.02375,32191.4575,208048.75,0.5459770114942529,5394
2025,4,"3,3,3,3",1797,141733.86,600595.5273,226191.6306,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,3",2330,176295.97,718311.5729,233490.15585,3702.21537,27248.641,176295.97,0.43196143863552094,5394
2025,4,"5,3,3,3",2844,204324.98,841525.6409,239679.36535,4290.82458,31619.8925,204324.98,0.5272525027808677,5394
2025,4,"4,4,3,3",2354,177337.16,723436.8074,245998.54205,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,3,3",2917,207367.02,857525.6354,252187.75155,4354.707420000001,32087.948,207367.02,0.5407860585836114,5394
2025,4,"5,5,3,3",2936,207838.6,860618.8234,263692.08438333333,4364.6106,32159.935,207838.6,0.5443084909158324,5394
2025,4,"4,4,4,3",2354,177337.16,723436.8074,260691.42941666665,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,3",2925,207552.17,860054.1204,266880.6389166667,4358.59557,32115.7205,207552.17,0.5422691879866518,5394
2025,4,"5,5,4,3",2946,208058.75,863352.3084,278628.48425,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"5,5,5,3",2946,208058.75,863352.3084,294786.9508333333,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"4,4,4,4",2354,177337.16,723436.8074,276894.0567,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,4",2925,207552.17,860054.1204,283083.2662,4358.59557,32115.7205,207552.17,0.5422691879866518,5394
2025,4,"5,5,4,4",2946,208058.75,863352.3084,295074.6240333333,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"5,5,5,4",2946,208058.75,863352.3084,312597.2577,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"5,5,5,5",2946,208058.75,863352.3084,331992.8227,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"1,1,1,1,1",533,51647.97,249761.9751,0.0,1084.60737,7951.3375,51647.97,0.09881349647756767,5394
2025,4,"2,1,1,1,1",1134,92048.58,382821.9912,0.0,1933.02018,14296.628,92048.58,0.21023359288097887,5394
2025,4,"3,1,1,1,1",1615,135371.41,572292.4138,0.0,2842.79961,20960.377,135371.41,0.2994067482387838,5394
2025,4,"4,1,1,1,1",2007,165147.34,665130.0036,0.0,3468.09414,25501.625500000002,165147.34,0.3720800889877642,5394
2025,4,"5,1,1,1,1",2375,187959.79,765216.3565999999,0.0,3947.1555900000003,29067.168,187959.79,0.44030404152762326,5394
2025,4,"2,2,1,1,1",1196,94222.98,391115.6597,0.0,1978.6825800000001,14628.763,94222.98,0.22172784575454207,5394
